,sentence,target
707,"Mr. Deeds is sure to give you a lot of laughs in this simple , sweet and romantic comedy .",4
708,Skip work to see it at the first opportunity .,3
709,"Some writer dude , I think his name was , uh , Michael Zaidan , was supposed to have like written the screenplay or something , but , dude , the only thing that I ever saw that was written down were the zeroes on my paycheck .",0
710,"It would be disingenuous to call Reno a great film , but you can say that about most of the flicks moving in and out of the multiplex .",2
711,"Far-fetched premise , convoluted plot , and thematic mumbo jumbo about destiny and redemptive love .",2
712,"Ultimately , Sarah 's dedication to finding her husband seems more psychotic than romantic , and nothing in the movie makes a convincing case that one woman 's broken heart outweighs all the loss we witness .",1
713,Most of the dialogue made me want to pack raw dough in my ears .,0
714,"A cultural wildcard experience : wacky , different , unusual , even nutty .",4
715,"Each story is built on a potentially interesting idea , but the first two are ruined by amateurish writing and acting , while the third feels limited by its short running time .",1
716,Astonishingly skillful and moving ... it could become a historically significant work as well as a masterfully made one .,4
717,"For all the writhing and wailing , tears , rage and opium overdoses , there 's no sense of actual passion being washed away in love 's dissolution .",1
718,"Leaves you with a knot in your stomach , its power is undercut by its own head-banging obviousness .",1
719,"In spite of featuring a script credited to no fewer than five writers , apparently nobody here bothered to check it twice .",1
720,"The film benefits greatly from a less manic tone than its predecessor , as Cho appears to have settled comfortably into her skin .",4
721,"The problem is that for the most part , the film is deadly dull .",0
722,Showtime is a fine-looking film with a bouncy score and a clutch of lively songs for deft punctuation .,4
723,"For this reason and this reason only -- the power of its own steadfast , hoity-toity convictions -- Chelsea Walls deserves a medal .",3
724,I 'd be lying if I said my ribcage did n't ache by the end of Kung Pow .,3
725,"She may not be real , but the laughs are .",4
726,"Woven together handsomely , recalling sixties ' rockumentary milestones from Lonely Boy to Do n't Look Back .",3
727,An excellent sequel .,4
728,"Remains a solid , if somewhat heavy-handed , account of the near-disaster ... done up by Howard with a steady , if not very imaginative , hand .",2
729,"Every five minutes or so , someone gets clocked .",2
730,"Even during the climactic hourlong cricket match , boredom never takes hold .",3
731,Splendidly illustrates the ability of the human spirit to overcome adversity .,3
732,"It is a challenging film , if not always a narratively cohesive one .",2
733,"Anchored by a terrific performance by Abbass , Satin Rouge shows that the idea of women 's self-actualization knows few continental divides .",3
734,Bad and baffling from the get-go .,0
735,One thing is for sure : This movie does not tell you a whole lot about Lily Chou-Chou .,2
736,A deviant topical comedy which is funny from start to finish .,4
737,... del Toro maintains a dark mood that makes the film seem like something to endure instead of enjoy .,1
738,Imagine a really bad community theater production of West Side Story without the songs .,0
739,Feels like a cold old man going through the motions .,1
740,"It is ridiculous , of course ... but it is also refreshing , disarming , and just outright enjoyable despite its ridiculousness .",3
741,Billy Crystal and Robert De Niro sleepwalk through vulgarities in a sequel you can refuse .,1
742,You do n't know whether to admire the film 's stately nature and call it classicism or be exasperated by a noticeable lack of pace .,1
743,"First-time writer-director Serry shows a remarkable gift for storytelling with this moving , effective little film .",3
744,"Metaphors abound , but it is easy to take this film at face value and enjoy its slightly humorous and tender story .",3
745,"Every visual joke is milked , every set-up obvious and lengthy , every punchline predictable .",1
746,"The problems and characters it reveals are universal and involving , and the film itself -- as well its delightful cast -- is so breezy , pretty and gifted , it really won my heart .",4
747,The story and the friendship proceeds in such a way that you 're watching a soap opera rather than a chronicle of the ups and downs that accompany lifelong friendships .,1
748,"Barney has created a tour de force that is weird , wacky and wonderful .",4
749,"If you believe any of this , I can make you a real deal on leftover Enron stock that will double in value a week from Friday .",1
750,Nothing more substantial than a fitfully clever doodle .,2
751,I love the robust middle of this picture .,4
752,"The story is virtually impossible to follow here , but there 's a certain style and wit to the dialogue .",2
753,"An engrossing story that combines psychological drama , sociological reflection , and high-octane thriller .",4
754,"Being unique does n't necessarily equate to being good , no matter how admirably the filmmakers have gone for broke .",1
755,"There is no solace here , no entertainment value , merely a fierce lesson in where filmmaking can take us .",1
756,The Movie will reach far beyond its core demographic .,4
757,"Try Hell House , which documents the cautionary Christian spook-a-rama of the same name .",2
758,"I would be shocked if there was actually one correct interpretation , but that should n't make the movie or the discussion any less enjoyable .",2
759,"Simplistic , silly and tedious .",1
760,"Cheap , vulgar dialogue and a plot that crawls along at a snail 's pace .",1
761,"Silly , loud and goofy .",2
762,"Some of Seagal 's action pictures are guilty pleasures , but this one is so formulaic that it seems to be on auto-pilot .",0
763,All the characters are clinically depressed and have abandoned their slim hopes and dreams .,1
764,"Witless , pointless , tasteless and idiotic .",1
765,It 's impossible to even categorize this as a smutty guilty pleasure .,1
766,"This is one of Mr. Chabrol 's subtlest works , but also one of his most uncanny .",3
767,"Ultimately , it ponders the reasons we need stories so much .",2
768,"Starts off with a bang , but then fizzles like a wet stick of dynamite at the very end .",1
769,"A jumbled fantasy comedy that did not figure out a coherent game plan at scripting , shooting or post-production stages .",1
770,"Its flame-like , roiling black-and-white inspires trembling and gratitude .",3
771,"Writer-director Randall Wallace has bitten off more than he or anyone else could chew , and his movie veers like a drunken driver through heavy traffic .",1
772,"Payami tries to raise some serious issues about Iran 's electoral process , but the result is a film that 's about as subtle as a party political broadcast .",1
773,"Any intellectual arguments being made about the nature of God are framed in a drama so clumsy , there is a real danger less sophisticated audiences will mistake it for an endorsement of the very things that Bean abhors .",2
774,Both a detective story and a romance spiced with the intrigue of academic skullduggery and politics .,3
775,"Releasing a film with the word ` dog ' in its title in January lends itself to easy jokes and insults , and Snow Dogs deserves every single one of them .",1
776,"I ca n't remember the last time I saw an audience laugh so much during a movie , but there 's only one problem ... it 's supposed to be a drama .",2
777,The movie is a desperate miscalculation .,0
778,A very average science fiction film .,1
779,"If the message seems more facile than the earlier films , the images have such a terrible beauty you may not care .",2
780,Excruciatingly unfunny and pitifully unromantic .,1
781,"For the most part , I Spy was an amusing lark that will probably rank as one of Murphy 's better performances in one of his lesser-praised movies .",3
782,"One of those based-on-truth stories that persuades you , with every scene , that it could never really have happened this way .",2
783,"... an unimaginative , nasty , glibly cynical piece of work .",1
784,This is just lazy writing .,0
785,Wow .,3
786,You might not buy the ideas .,1
787,"Pretty much sucks , but has a funny moment or two .",1
788,That such a horrible movie could have sprung from such a great one is one of the year 's worst cinematic tragedies .,0
789,I like my Christmas movies with more elves and snow and less pimps and ho 's .,0
790,"is the kind of movie that 's critic-proof , simply because it aims so low .",1
791,"Possession is in the end an honorable , interesting failure .",2
792,"... one big laugh , three or four mild giggles , and a whole lot of not much else .",2
793,"A knowing look at female friendship , spiked with raw urban humor .",3
794,It 's an experience in understanding a unique culture that is presented with universal appeal .,3
795,"Takes one character we do n't like and another we do n't believe , and puts them into a battle of wills that is impossible to care about and is n't very funny .",2
796,"Beneath the film 's obvious determination to shock at any cost lies considerable skill and determination , backed by sheer nerve .",3
797,A well-made and often lovely depiction of the mysteries of friendship .,3
798,"A ` Girls Gone Wild ' video for the boho art-house crowd , The Burning Sensation is n't a definitive counter-cultural document -- its makers are n't removed and inquisitive enough for that .",0
799,"Walter Hill 's pulpy , stylized boxing melodrama Undisputed nearly overcomes its questionable in-the-ring match-up with solid fight choreography and gritty prison authenticity .",2
800,"The movie wavers between Hallmark card sentimentality and goofy , life-affirming moments straight out of a cellular phone commercial .",1
801,"Such master screenwriting comes courtesy of John Pogue , the Yale grad who previously gave us `` The Skulls '' and last year 's `` Rollerball . ''",4
802,This overproduced and generally disappointing effort is n't likely to rouse the Rush Hour crowd .,0
803,"Brims with passion : for words , for its eccentric , accident-prone characters , and for the crazy things that keep people going in this crazy life .",4
804,Does n't add up to much .,0
805,"The film is surprisingly well-directed by Brett Ratner , who keeps things moving well -- at least until the problematic third act .",3
806,Trades run-of-the-mill revulsion for extreme unease .,2
807,"Where Janice Beard falters in its recycled aspects , implausibility , and sags in pace , it rises in its courageousness , and comedic employment .",3
808,Parts of the film feel a bit too much like an infomercial for Ram Dass 's latest book aimed at the boomer demographic .,1
809,"The film makes a tragic error by going on for too long , trying to mirror every subsequent event in Chinese history : war , revolution , Communism , etc. .",0
810,Just dreadful .,0
811,Fear Dot Com is more frustrating than a modem that disconnects every 10 seconds .,1
812,This is more a case of ` Sacre bleu ! ',2
813,"A real winner -- smart , funny , subtle , and resonant .",4
814,The film presents visceral and dangerously honest revelations about the men and machines behind the curtains of our planet .,3
815,Sorvino is delightful in the central role .,3
816,The performances take the movie to a higher level .,4
817,"Benefits from a strong performance from Zhao , but it 's Dong Jie 's face you remember at the end .",3
818,A grimly competent and stolid and earnest military courtroom drama .,3
819,"The whole cast looks to be having so much fun with the slapstick antics and silly street patois , tossing around obscure expressions like Bellini and Mullinski , that the compact 86 minutes breezes by .",3
820,"It is also , at times , curiously moving .",3
821,"Despite its floating narrative , this is a remarkably accessible and haunting film .",4
822,Degenerates into hogwash .,0
823,"Children , Christian or otherwise , deserve to hear the full story of Jonah 's despair -- in all its agonizing , Catch-22 glory -- even if they spend years trying to comprehend it .",3
824,It 's probably worth catching solely on its visual merits .,3
825,"The farcical elements seemed too pat and familiar to hold my interest , yet its diverting grim message is a good one .",2
826,A visually flashy but narratively opaque and emotionally vapid exercise in style and mystification .,1
827,This comic gem is as delightful as it is derivative .,4
828,"Whether our action-and-popcorn obsessed culture will embrace this engaging and literate psychodrama is n't much of a mystery , unfortunately .",2
829,"It gets onto the screen just about as much of the novella as one could reasonably expect , and is engrossing and moving in its own right .",3
830,... too dull to enjoy .,1
831,Cho 's latest comic set is n't as sharp or as fresh as I 'm the One That I Want ... but it 's still damn funny stuff .,3
832,"Perhaps a better celebration of these unfairly dismissed heroes would be a film that is n't this painfully forced , false and fabricated .",1
833,A sober and affecting chronicle of the leveling effect of loss .,2
834,Godard 's ode to tackling life 's wonderment is a rambling and incoherent manifesto about the vagueness of topical excess ... In Praise of Love remains a ponderous and pretentious endeavor that 's unfocused and tediously exasperating .,0
835,"Sandra Bullock , despite downplaying her good looks , carries a little too much ai n't - she-cute baggage into her lead role as a troubled and determined homicide cop to quite pull off the heavy stuff .",1
836,"A sun-drenched masterpiece , part parlor game , part psychological case study , part droll social satire .",4
837,"... hits every cliche we 've come to expect , including the assumption that `` crazy '' people are innocent , childlike and inherently funny .",1
838,"Yes , Ballistic is silly .",2
839,It 's painful .,0
840,"Still , it just sits there like a side dish no one ordered .",1
841,"A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .",2
842,"This quiet , introspective and entertaining independent is worth seeking .",4
843,Just the sort of lazy tearjerker that gives movies about ordinary folk a bad name .,1
844,"Witty and often surprising , a dark little morality tale disguised as a romantic comedy .",4
845,"It has no affect on the Kurds , but it wore me down .",1
846,"Any Chekhov is better than no Chekhov , but it would be a shame if this was your introduction to one of the greatest plays of the last 100 years .",2
847,"Fortunately , Elling never gets too cloying thanks to the actors ' perfect comic timing and sweet , genuine chemistry .",3
848,Certainly the big finish was n't something Galinsky and Hawley could have planned for ... but part of being a good documentarian is being there when the rope snaps .,3
849,"It has the charm of the original American road movies , feasting on the gorgeous , ramshackle landscape of the filmmaker 's motherland .",3
850,Deliberately and skillfully uses ambiguity to suggest possibilities which imbue the theme with added depth and resonance .,3
851,An intriguing and entertaining introduction to Johnson .,4
852,"What might have been readily dismissed as the tiresome rant of an aging filmmaker still thumbing his nose at convention takes a surprising , subtle turn at the midway point .",1
853,"Highlights are the terrific performances by Christopher Plummer , as the prime villain , and Nathan Lane as Vincent Crummles , the eccentric theater company manager .",3
854,One ca n't deny its seriousness and quality .,3
855,"A lackluster , unessential sequel to the classic Disney adaptation of J.M. Barrie 's Peter Pan .",0
856,You can take the grandkids or the grandparents and never worry about anyone being bored ... audience is a sea of constant smiles and frequent laughter .,4
857,"Pacino and Williams seem to keep upping the ante on each other , just as their characters do in the film .",4
858,"When a movie asks you to feel sorry for Mick Jagger 's sex life , it already has one strike against it .",1
859,A powerful performance from Mel Gibson and a brutal 90-minute battle sequence that does everything but issue you a dog-tag and an M-16 .,4
860,"A fitfully amusing romp that , if nothing else , will appeal to fans of Malcolm in the Middle and its pubescent star , Frankie Muniz .",3
861,Pap invested in undergraduate doubling subtexts and ridiculous stabs at existentialism reminding of the discovery of the wizard of God in the fifth Trek flick .,1
862,"It 's never laugh-out-loud funny , but it is frequently amusing .",3
863,"George , hire a real director and good writers for the next installment , please .",1
864,"If you 're looking for an intelligent movie in which you can release your pent up anger , ENOUGH is just the ticket you need .",3
865,"And in a sense , that 's a liability .",1
866,"Despite these annoyances , the capable Clayburgh and Tambor really do a great job of anchoring the characters in the emotional realities of middle age .",2
867,"A dull , somnambulant exercise in pretension whose pervasive quiet is broken by frequent outbursts of violence and noise .",0
868,This is one of the rarest kinds of films : a family-oriented non-Disney film that is actually funny without hitting below the belt .,3
869,To say that this vapid vehicle is downright doltish and uneventful is just as obvious as telling a country skunk that he has severe body odor .,0
870,`` Simone '' is a fun and funky look into an artificial creation in a world that thrives on artificiality .,4
871,"PC stability notwithstanding , the film suffers from a simplistic narrative and a pat , fairy-tale conclusion .",1
872,The premise of Jason X is silly but strangely believable .,3
873,"The film is explosive , but a few of those sticks are wet .",2
874,Morton deserves an Oscar nomination .,4
875,LaBute masterfully balances both Traditional or Modern stories together in a manner that one never overwhelms the other .,4
876,Distinctly sub-par ... more likely to drown a viewer in boredom than to send any shivers down his spine .,0
877,"Successfully blended satire , high camp and yet another sexual taboo into a really funny movie .",3
878,"Charlie Hunnam has the twinkling eyes , repressed smile and determined face needed to carry out a Dickensian hero .",4
879,Although it does n't always hang together -- violence and whimsy do n't combine easily -- `` Cherish '' certainly is n't dull .,2
880,Sometimes makes less sense than the Bruckheimeresque American action flicks it emulates .,1
881,They can and will turn on a dime from oddly humorous to tediously sentimental .,3
882,"It 's all stitched together with energy , intelligence and verve , enhanced by a surplus of vintage archive footage .",4
883,"It 's sweet , harmless , dumb , occasionally funny and about as compelling as a fishing show .",2
884,An uneven but intriguing drama that is part homage and part remake of the Italian masterpiece .,3
885,Not since Tom Cruise in Risky Business has an actor made such a strong impression in his underwear .,3
886,"The story is lacking any real emotional impact , and the plot is both contrived and cliched .",0
887,Possibly the most irresponsible picture ever released by a major film studio .,1
888,"The leads are so unmemorable , despite several attempts at lengthy dialogue scenes , that one eventually resents having to inhale this gutter romancer 's secondhand material .",0
889,This thing is virtually unwatchable .,0
890,"If Disney 's Cinderella proved that ' a dream is a wish your heart makes , ' then Cinderella II proves that a nightmare is a wish a studio 's wallet makes .",1
891,It 's that rare family movie -- genuine and sweet without relying on animation or dumb humor .,4
892,"Berry 's saucy , full-bodied performance gives this aging series a much needed kick , making `` Die Another Day '' one of the most entertaining Bonds in years",4
893,"The soupy end result has the odd distinction of being playful without being fun , too .",2
894,"Fathers and sons , and the uneasy bonds between them , rarely have received such a sophisticated and unsentimental treatment on the big screen as they do in this marvelous film .",4
895,"An amateurish , quasi-improvised acting exercise shot on ugly digital video .",0
896,"Like those to Rome , all roads in The Banger Sisters inevitably lead to a joke about Hawn 's breasts , which constantly threaten to upstage the woman sporting them .",1
897,A synthesis of cliches and absurdities that seems positively decadent in its cinematic flash and emptiness .,1
898,"At once emotional and richly analytical , the Cosby-Seinfeld encounter alone confirms the serious weight behind this superficially loose , larky documentary .",2
899,"Ah yes , and then there 's the music ...",2
900,A pleasant enough comedy that should have found a summer place .,3
901,essentially `` Fatal Attraction '' remade for viewers who were in diapers when the original was released in 1987 .,1
902,"The characters , cast in impossibly contrived situations , are totally estranged from reality .",1
903,"At the film 's centre is a precisely layered performance by an actor in his mid-seventies , Michel Piccoli .",2
904,"There is a welcome lack of pretension about the film , which very simply sets out to entertain and ends up delivering in good measure .",4
905,A sports movie with action that 's exciting on the field and a story you care about off it .,4
906,Frank Capra played this story straight .,3
907,The title helpfully offers the most succinct review of it you 'll read anywhere .,2
908,"Are we dealing with dreams , visions or being told what actually happened as if it were the third ending of Clue ?",1
909,"Too slow for a younger crowd , too shallow for an older one .",1
910,Ecks this one off your must-see list .,0
911,"An entertaining , colorful , action-filled crime story with an intimate heart .",3
912,This loud and thoroughly obnoxious comedy about a pair of squabbling working-class spouses is a deeply unpleasant experience .,0
913,"Ice Cube is n't quite out of ripe screwball ideas , but Friday After Next spreads them pretty thin .",1
914,"`` Analyze That '' is one of those crass , contrived sequels that not only fails on its own , but makes you second-guess your affection for the original .",0
915,"The movie is almost completely lacking in suspense , surprise and consistent emotional conviction .",0
916,A glorious mess .,2
917,The advantage of a postapocalyptic setting is that it can be made on the cheap .,1
918,It 's a very tasteful rock and roll movie .,3
919,"Everyone connected to this movie seems to be part of an insider clique , which tends to breed formulaic films rather than fresh ones .",1
920,Hardly a film that comes along every day .,3
921,"... a plotline that 's as lumpy as two-day old porridge ... the filmmakers ' paws , sad to say , were all over this `` un-bear-able '' project !",0
922,"The Emperor 's Club , ruthless in its own placid way , finds one of our most conservative and hidebound movie-making traditions and gives it new texture , new relevance , new reality .",4
923,Returning director Rob Minkoff ... and screenwriter Bruce Joel Rubin ... have done a fine job of updating White 's dry wit to a new age .,4
924,All the movie 's narrative gymnastics ca n't disguise the fact that it 's inauthentic at its core and that its story just is n't worth telling .,0
925,It never rises to its clever what-if concept .,1
926,"An important movie , a reminder of the power of film to move us and to make us examine our values .",4
927,Could this be the first major studio production shot on video tape instead of film ?,1
928,More of an intriguing curiosity than a gripping thriller .,2
929,"With tightly organized efficiency , numerous flashbacks and a constant edge of tension , Miller 's film is one of 2002 's involvingly adult surprises .",3
930,Do n't even bother to rent this on video .,0
931,"Ver Wiel 's desperate attempt at wit is lost , leaving the character of Critical Jim two-dimensional and pointless .",1
932,"The film is moody , oozing , chilling and heart-warming all at once ... a twisting , unpredictable , cat-and-mouse thriller .",4
933,"Though the film is well-intentioned , one could rent the original and get the same love story and parable .",3
934,"As A Rumor of Angels reveals itself to be a sudsy tub of supernatural hokum , not even Ms. Redgrave 's noblest efforts can redeem it from hopeless sentimentality .",0
935,The long-range appeal of `` Minority Report '' should transcend any awards it bags .,3
936,"With the dog days of August upon us , think of this dog of a movie as the cinematic equivalent of high humidity .",1
937,Happily for Mr. Chin -- though unhappily for his subjects -- the invisible hand of the marketplace wrote a script that no human screenwriter could have hoped to match .,3
938,"Plays like one long , meandering sketch inspired by the works of John Waters and Todd Solondz , rather than a fully developed story .",1
939,"The film is visually dazzling , the depicted events dramatic , funny and poignant .",4
940,A funny film .,3
941,"It 's hard to quibble with a flick boasting this many genuine cackles , but Notorious C.H.O. still feels like a promising work-in-progress .",3
942,Weird .,1
943,All three women deliver remarkable performances .,3
944,Is it really an advantage to invest such subtlety and warmth in an animatronic bear when the humans are acting like puppets ?,1
945,An engrossing portrait of a man whose engaging manner and flamboyant style made him a truly larger-than-life character .,4
946,"This is DiCaprio 's best performance in anything ever , and easily the most watchable film of the year .",4
947,"` The film is stark , straightforward and deadly ... an unnatural calm that 's occasionally shaken by ... blasts of rage , and later , violent jealousy . '",2
948,Goes on and on to the point of nausea .,1
949,"I do n't know if Frailty will turn Bill Paxton into an A-list director , but he can rest contentedly with the knowledge that he 's made at least one damn fine horror movie .",3
950,"But if the essence of magic is its make-believe promise of life that soars above the material realm , this is the opposite of a truly magical movie .",0
951,"Finds a way to tell a simple story , perhaps the simplest story of all , in a way that seems compelling and even original .",4
952,The quality of the art combined with the humor and intelligence of the script allow the filmmakers to present the biblical message of forgiveness without it ever becoming preachy or syrupy .,3
953,Consider the title 's clunk-on-the-head that suggests the overtime someone put in to come up with an irritatingly unimaginative retread concept .,1
954,"Twenty-three movies into a mostly magnificent directorial career , Clint Eastwood 's efficiently minimalist style finally has failed him .",1
955,"Even in this less-than-magic kingdom , Reese rules .",2
956,"Try this obscenely bad dark comedy , so crass that it makes Edward Burns ' Sidewalks of New York look like Oscar Wilde .",1
957,Peter Jackson has done the nearly impossible .,3
958,"It all plays out ... like a high-end John Hughes comedy , a kind of Elder Bueller 's Time Out .",3
959,"This is a dark , gritty , sometimes funny little gem .",3
960,"One Hour Photo may seem disappointing in its generalities , but it 's the little nuances that perhaps had to escape from director Mark Romanek 's self-conscious scrutiny to happen , that finally get under your skin .",1
961,"While there 's something intrinsically funny about Sir Anthony Hopkins saying ` Get in the car , bitch , ' this Jerry Bruckheimer production has little else to offer",3
962,"Everything else about High Crimes is , like the military system of justice it portrays , tiresomely regimented .",2
963,Will give many ministers and Bible-study groups hours of material to discuss .,3
964,"Its screenplay serves as auto-critique , and its clumsiness as its own most damning censure .",1
965,"If you 're looking for a smart , nuanced look at de Sade and what might have happened at Picpus , Sade is your film .",3
966,"As Tweedy talks about canning his stockbroker and repairing his pool , you yearn for a few airborne TV sets or nude groupies on the nod to liven things up .",1
967,He nonetheless appreciates the art and reveals a music scene that transcends culture and race .,4
968,Plays like a checklist of everything Rob Reiner and his cast were sending up .,2
969,"It arrives with an impeccable pedigree , mongrel pep , and almost indecipherable plot complications .",2
970,Peppered with witty dialogue and inventive moments .,4
971,"Violent , vulgar and forgettably entertaining .",1
972,Few films capture so perfectly the hopes and dreams of little boys on baseball fields as well as the grown men who sit in the stands .,4
973,"For all the complications , it 's all surprisingly predictable .",2
974,But it 's defiantly and delightfully against the grain .,3
975,You 'll get the enjoyable basic minimum .,2
976,"That , in itself , is extraordinary .",4
977,Seldom has a movie so closely matched the spirit of a man and his work .,4
978,Attal mixes comedy with a serious exploration of ego and jealousy within a seemingly serene marriage .,3
979,Brosnan 's finest non-Bondish performance yet fails to overcome the film 's manipulative sentimentality and annoying stereotypes .,1
980,"A poorly scripted , preachy fable that forgets about unfolding a coherent , believable story in its zeal to spread propaganda .",2
981,"UB equally spoofs and celebrates the more outre aspects of ` black culture ' and the dorkier aspects of ` white culture , ' even as it points out how inseparable the two are .",3
982,"Neither quite a comedy nor a romance , more of an impish divertissement of themes that interest Attal and Gainsbourg -- they live together -- the film has a lot of charm .",3
983,"Though it was made with careful attention to detail and is well-acted by James Spader and Maggie Gyllenhaal , I felt disrespected .",2
984,"A finely tuned mood piece , a model of menacing atmosphere .",4
985,"Not only a reminder of how they used to make movies , but also how they sometimes still can be made .",3
986,"Tim Allen is great in his role but never hogs the scenes from his fellow cast , as there are plenty of laughs and good lines for everyone in this comedy .",4
987,One of those exceedingly rare films in which the talk alone is enough to keep us involved .,4
988,The movie is a lumbering load of hokum but ... it 's at least watchable .,1
989,"An unusually dry-eyed , even analytical approach to material that is generally played for maximum moisture .",3
990,"While you have to admit it 's semi-amusing to watch Robert DeNiro belt out `` When you 're a Jet , you 're a Jet all the way , '' it 's equally distasteful to watch him sing the lyrics to `` Tonight . ''",1
991,"To those who have not read the book , the film is a much better mother-daughter tale than last summer 's ` Divine Secrets of the Ya-Ya Sisterhood , ' but that 's not saying much .",3
992,"The script is a disaster , with cloying messages and irksome characters .",1
993,"At its worst , the movie is pretty diverting ; the pity is that it rarely achieves its best .",2
994,I love the opening scenes of a wintry New York City in 1899 .,3
995,"Stuffed to the brim with ideas , American instigator Michael Moore 's film is a rambling examination of American gun culture that uses his usual modus operandi of crucifixion through juxtaposition .",3
996,Heaven is a haunting dramatization of a couple 's moral ascension .,2
997,"Bartleby is a one-joke movie , and a bad joke at that .",0
998,... the plot weaves us into a complex web .,3
999,Cool .,3
1000,The limited sets and small confined and dark spaces also are homages to a classic low-budget film noir movie .,2
1001,"It tries too hard , and overreaches the logic of its own world .",1
1002,"It 's also curious to note that this film , like the similarly ill-timed Antitrust , is easily as bad at a fraction the budget .",0
1003,"A subtle , humorous , illuminating study of politics , power and social mobility .",3
1004,Once you get into its rhythm ... the movie becomes a heady experience .,3
1005,The immersive powers of the giant screen and its hyper-realistic images are put to perfect use in the breathtakingly beautiful outer-space documentary Space Station 3D .,4
1006,Good old-fashioned slash-and-hack is back !,3
1007,Feels as if the inmates have actually taken over the asylum .,2
1008,"Plunges you into a reality that is , more often then not , difficult and sad , and then , without sentimentalizing it or denying its brutality , transforms that reality into a lyrical and celebratory vision .",3
1009,"Somewhere in the middle , the film compels , as Demme experiments he harvests a few movie moment gems , but the field of roughage dominates .",2
1010,"As a director , Mr. Ratliff wisely rejects the temptation to make fun of his subjects .",2
1011,"Big Fat Liar is little more than Home Alone raised to a new , self-deprecating level .",0
1012,This harrowing journey into combat hell vividly captures the chaotic insanity and personal tragedies that are all too abundant when human hatred spews forth unchecked .,2
1013,We get the comedy we settle for .,1
1014,a terrible adaptation of a play that only ever walked the delicate tightrope between farcical and loathsome .,0
1015,"Unspools like a highbrow , low-key , 102-minute infomercial , blending entrepreneurial zeal with the testimony of satisfied customers .",2
1016,It 's pretentious in a way that verges on the amateurish .,0
1017,At times Auto Focus feels so distant you might as well be watching it through a telescope .,1
1018,How inept is Serving Sara ?,0
1019,"The first mistake , I suspect , is casting Shatner as a legendary professor and Kunis as a brilliant college student -- where 's Pauly Shore as the rocket scientist ?",1
1020,Ethan Hawke has always fancied himself the bastard child of the Beatnik generation and it 's all over his Chelsea Walls .,1
1021,It helps that Lil Bow Wow ... tones down his pint-sized gangsta act to play someone who resembles a real kid .,3
1022,This remake of Lina Wertmuller 's 1975 eroti-comedy might just be the biggest husband-and-wife disaster since John and Bo Derek made the ridiculous Bolero .,1
1023,Manages to please its intended audience -- children -- without placing their parents in a coma-like state .,3
1024,"It shares the first two films ' loose-jointed structure , but laugh-out-loud bits are few and far between .",2
1025,"That rare documentary that incorporates so much of human experience -- drama , conflict , tears and surprise -- that it transcends the normal divisions between fiction and nonfiction film .",4
1026,"Filled with Alexandre Desplat 's haunting and sublime music , the movie completely transfixes the audience .",4
1027,"Doug Liman , the director of Bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie 's spycraft and uses Damon 's ability to be focused and sincere .",4
1028,"Director Chris Wedge and screenwriters Michael Berg , Michael J. Wilson and Peter Ackerman create some episodes that rival vintage Looney Tunes for the most creative mayhem in a brief amount of time .",3
1029,"For all the wit and hoopla , Festival In Cannes offers rare insight into the structure of relationships .",3
1030,"A taut , sobering film .",4
1031,Those of you who do n't believe in Santa Claus probably also think that sequels can never capture the magic of the original .,2
1032,"This re-do is so dumb and so exploitative in its violence that , ironically , it becomes everything that the rather clumsy original was railing against .",0
1033,Denzel Washington 's efforts are sunk by all the sanctimony .,0
1034,"When you find yourself rooting for the monsters in a horror movie , you know the picture is in trouble .",0
1035,Bring tissues .,3
1036,A technical triumph and an extraordinary bore .,1
1037,"As spent screen series go , Star Trek : Nemesis is even more suggestive of a 65th class reunion mixer where only eight surviving members show up -- and there 's nothing to drink .",2
1038,Japan 's premier stylist of sex and blood hits audiences with what may be his most demented film to date .,3
1039,"Partly a schmaltzy , by-the-numbers romantic comedy , partly a shallow rumination on the emptiness of success -- and entirely soulless .",0
1040,Has all the poignancy of a Hallmark card and all the comedy of a Gallagher stand-up act .,2
1041,Fans of Behan 's work and of Irish movies in general will be rewarded by Borstal Boy .,4
1042,"Who knows what exactly Godard is on about in this film , but his words and images do n't have to add up to mesmerize you .",3
1043,The elements were all there but lack of a pyschological center knocks it flat .,1
1044,Smarter than its commercials make it seem .,3
1045,Or that the battery on your watch has died .,2
1046,"Evokes the frustration , the awkwardness and the euphoria of growing up , without relying on the usual tropes .",1
1047,"World Traveler might not go anywhere new , or arrive anyplace special , but it 's certainly an honest attempt to get at something .",3
1048,"Claims to sort the bad guys from the good , which is its essential problem .",1
1049,"It falls far short of poetry , but it 's not bad prose .",3
1050,"Viewed as a comedy , a romance , a fairy tale , or a drama , there 's nothing remotely triumphant about this motion picture .",2
1051,Everything that 's worthwhile about Collision Course can already be seen on television .,2
1052,"`` The Ring '' is pretty much an English-language copy of the film that inspired it , and it carries the same strengths and flaws .",2
1053,There 's got to be a more graceful way of portraying the devastation of this disease .,1
1054,"But it could be , by its art and heart , a necessary one .",3
1055,"This self-infatuated goofball is far from the only thing wrong with the clumsy comedy Stealing Harvard , but he 's the most obvious one .",0
1056,"Davis the performer is plenty fetching enough , but she needs to shake up the mix , and work in something that does n't feel like a half-baked stand-up routine .",2
